Title,Description,Credits,Prerequisites
MATH/STAT  310 — INTRODUCTION TO PROBABILITY AND MATHEMATICAL STATISTICS II,"Mathematical statistical inference aims at providing an understanding of likelihood's central role to statistical inference, using the language of mathematical statistics to analyze statistical procedures, and using the computer as a tool for understanding statistics. Specific topics include: samples and populations, estimation, hypothesis testing, and theoretical properties of statistical inference.",3 credits.,"STAT 311, MATH 531, STAT 240, STAT 301, STAT 302, STAT 324, STAT 371, ECON 310"
MATH 319 — TECHNIQUES IN ORDINARY DIFFERENTIAL EQUATIONS,Review of linear differential equations; series solution of linear differential equations; boundary value problems; Laplace transforms; possibly numerical methods and two dimensional autonomous systems.,3 credits.,MATH 222
MATH 320 — LINEAR ALGEBRA AND DIFFERENTIAL EQUATIONS,"An introduction to linear algebra and differential equations with emphasis on the relationship between the theory of linear algebra and analytical and numerical techniques for solving differential equations. Linear algebra topics include linear systems, matrices and their algebra, vector spaces and linear transformations, eigenvalues and eigenvectors. Topics from differential equations include first order ODE, homogeneous and nonhomogeneous linear systems, and numerical methods.",3 credits.,MATH 222
MATH 321 — APPLIED MATHEMATICAL ANALYSIS,"Vector analysis: algebra and geometry of vectors, vector differential and integral calculus, theorems of Green, Gauss, and Stokes; complex analysis: analytic functions, complex integrals and residues, Taylor and Laurent series.",3 credits.,"MATH 376, MATH 234 and MATH 319, MATH 234 and MATH 320, MATH 234 and MATH 340, MATH 234 and MATH 341, MATH 234 and MATH 375"
MATH 322 — APPLIED MATHEMATICAL ANALYSIS,"Sturm-Liouville theory; Fourier series, including mean convergence; boundary value problems for linear second order partial differential equations, including separation of variables and eigenfunction expansions.",3 credits.,"MATH 321 or MATH 376"
MATH 331 — INTRODUCTORY PROBABILITY,"Topics covered include axioms of probability, random variables, the most important discrete and continuous probability distributions, expectation and variance, conditional probability and conditional expectations, Markov's and Chebyshev's inequalities, laws of large numbers, and the central limit theorem. Includes a brief introduction to techniques of multivariate integration.",3 credits.,"MATH 213 or MATH 222"
MATH 340 — ELEMENTARY MATRIX AND LINEAR ALGEBRA,"An introduction to linear algebra. Topics include matrix algebra, linear systems of equations, vector spaces, sub-spaces, linear dependence, span, basis, rank of matrices, determinants, linear transformations, coordinate representations, kernel, range, eigenvalues and eigenvectors, diagonalization, inner products and orthogonal vectors, symmetric matrices. Covers linear algebra topics in greater depth and detail than MATH 320. Formal techniques in mathematical argument [MATH 341] not covered.",3 credits.,MATH 222
MATH 341 — LINEAR ALGEBRA,"The theory of linear algebra with an introduction to proofs and proof writing. Topics include vector spaces, linear dependence, span, basis, linear transformations, kernel, image, inner products and inner product spaces, geometry, eigenvalues, eigenvectors, standard matrix factorizations. Other content includes basic set theory, logical operations, quantifiers, direct and indirect arguments, and induction. Differential equations [MATH 320] not covered.",3 credits.,MATH 234
MATH 375 — TOPICS IN MULTI-VARIABLE CALCULUS AND LINEAR ALGEBRA,"Vector spaces and linear transformations, differential calculus of scalar and vector fields, determinants, eigenvalues and eigenvectors, multiple integrals, line integrals, and surface integrals. Freshmen students are invited to enroll by the Department of Mathematics.",5 credits.,None
MATH 376 — TOPICS IN MULTI-VARIABLE CALCULUS AND DIFFERENTIAL EQUATIONS,Topics in multi-variable calculus and introduction to differential equations.,5 credits.,MATH 375
MATH 390 — UNDERGRADUATE RESEARCH WITH MADISON EXPERIMENTAL MATHEMATICS LAB,"An introduction to mathematical research. Instruction in ancillary skills such as literature review, mathematical software use, technical  writing and communication, etc. Requires acceptance to the Madison Experimental Mathematics undergraduate research lab.",3 credits.,None
MATH 407 — TOPICS IN MATHEMATICS STUDY ABROAD,Credit is awarded to students who have completed an appropriate math course abroad at the advanced level having no direct equivalence within the math department offerings. The study abroad course must be pre-approved by the math department.,1-5 credits.,None
MATH 415 — APPLIED DYNAMICAL SYSTEMS, CHAOS AND MODELING,An introduction to nonlinear dynamical systems including stability, bifurcations and chaos. The course will give underlying mathematical ideas, but emphasize applications from many scientific fields.,3 credits.,"MATH 376, MATH 234 and MATH 319, MATH 234 and MATH 320, MATH 234 and MATH 340, MATH 234 and MATH 341, MATH 234 and MATH 375"
MATH 421 — THE THEORY OF SINGLE VARIABLE CALCULUS,Covers material in first and second semester calculus but it is intended to teach math majors to write and understand proofs in mathematics in general and in calculus in particular.,3 credits.,MATH 234
MATH/COMP SCI/I SY E  425 — INTRODUCTION TO COMBINATORIAL OPTIMIZATION,"Focuses on optimization problems over discrete structures, such as shortest paths, spanning trees, flows, matchings, and the traveling salesman problem. We will investigate structural properties of these problems, and we will study both exact methods for their solution, and approximation algorithms.",3 credits.,"MATH 320 or MATH 375"
MATH/STAT  431 — INTRODUCTION TO THE THEORY OF PROBABILITY,"Topics covered include axioms of probability, random variables, the most important discrete and continuous probability distributions, expectation and variance, moment generating functions, conditional probability and conditional expectations, multivariate distributions, Markov's and Chebyshev's inequalities, laws of large numbers, and the central limit theorem.",3 credits.,"MATH 234 or MATH 376"
MATH/COMP SCI/E C E  435 — INTRODUCTION TO CRYPTOGRAPHY,Cryptography is the art and science of transmitting digital information in a secure manner. Provides an introduction to its technical aspects.,3 credits.,"MATH 320, or 375"
MATH 441 — INTRODUCTION TO MODERN ALGEBRA,"The integers, emphasizing general group and ring properties. Permutation groups, symmetry groups, polynomial rings, leading to notions of abstract groups and rings. Congruences, computations, including finite fields and applications. Emphasis on concepts and concrete examples and computations.",3 credits.,"MATH 320 or MATH 375"
MATH 443 — APPLIED LINEAR ALGEBRA,"Review of matrix algebra. Simultaneous linear equations, linear dependence and rank, vector space, eigenvalues and eigenvectors, diagonalization, quadratic forms, inner product spaces, norms, canonical forms. Discussion of numerical aspects and applications in the sciences.",3 credits.,"MATH 320 or MATH 375"
MATH 444 — GRAPHS AND NETWORKS IN DATA SCIENCE,"Mathematical foundations of networks with an emphasis on their applications in modern data science, using tools from algorithmic graph theory and linear algebra. Topics include: basics of graph theory, network statistics, graph traversal algorithms and implementation, matrix methods, community detection, PageRank, simulation of random graph models.",3 credits.,"MATH 320 or MATH 375, COMP SCI 200, COMP SCI 300"
MATH 461 — COLLEGE GEOMETRY I,An introduction to Euclidean or non-Euclidean geometry.,3 credits.,"MATH 234, MATH 222, MATH 375"
MATH 467 — INTRODUCTION TO NUMBER THEORY,"An introduction to proof writing techniques through a study of classical topics in elementary number theory. Topics include the divisibility, basic properties of primes, congruences, Fermat's theorem.",3 credits.,"MATH 234, MATH 222, MATH 222 and MATH 320, MATH 222 and MATH 340"
MATH/CURRIC  471 — MATHEMATICS FOR SECONDARY SCHOOL TEACHERS,"Capstone for future middle and high school teachers, drawing connections between higher mathematics and school mathematics.",3 credits.,"MATH 341 or MATH 421, MATH 461"
MATH/HIST SCI  473 — HISTORY OF MATHEMATICS,An historical survey of the main lines of mathematical development.,3 credits.,None
MATH/COMP SCI/STAT  475 — INTRODUCTION TO COMBINATORICS,"Problems of enumeration, distribution, and arrangement. Inclusion-exclusion principle. Generating functions and linear recurrence relations. Combinatorial identities. Graph coloring problems. Finite designs. Systems of distinct representatives and matching problems in graphs. Potential applications in the social, biological, and physical sciences. Puzzles. Problem solving.",3 credits.,"MATH 320 or MATH 375"
MATH 490 — UNDERGRADUATE SEMINAR,Intermediate or upper level topics course in mathematics. Topics vary.,1-3 credits.,None
MATH 491 — TOPICS IN UNDERGRADUATE MATHEMATICS,Intermediate or upper level topics course in mathematics. Topics vary.,3-4 credits.,None
MATH/COMP SCI  513 — NUMERICAL LINEAR ALGEBRA,"Direct and iterative solution of linear and nonlinear systems and of eigenproblems. LU and symmetric LU factorization. Complexity, stability, and conditioning. Nonlinear systems. Iterative methods for linear systems. QR-factorization and least squares. Eigenproblems: local and global methods.",3 credits.,"MATH 340 or MATH 375, COMP SCI 200, COMP SCI 300"
MATH/COMP SCI  514 — NUMERICAL ANALYSIS,"Polynomial forms, divided differences. Polynomial interpolation. Polynomial approximation: uniform approximation and Chebyshev polynomials, least-squares approximation and orthogonal polynomials. Numerical differentiation and integration. Splines, B-splines and spline approximation. Numerical methods for solving initial and boundary value problems for ordinary differential equations.",3 credits.,"MATH 320 or MATH 375 or MATH 322 or MATH 521, COMP SCI 200 or COMP SCI 301, COMP SCI 300"
MATH 519 — ORDINARY DIFFERENTIAL EQUATIONS,Provides a rigorous introduction to ordinary differential equations and dynamical systems. Intended for math majors and advanced (or graduate) students in other disciplines.,3 credits.,"MATH 320 or MATH 375, MATH 322 or MATH 521"
MATH 521 — ANALYSIS I,"The real numbers, elements of set theory, metric spaces and basic topology, sequences and series, limits, continuity, differentiation, integration, sequences and series of functions, uniform convergence.",3 credits.,"MATH 234 and MATH 467, MATH 322 or MATH 421"
MATH 522 — ANALYSIS II,"Special functions, power series, Fourier series, approximation, contraction principle, characterizations of compactness in metric spaces, applications to differential equations. Differential calculus in normed spaces, including implicit and inverse function theorems. Course is essential for graduate work in mathematics.",3 credits.,"MATH 521, MATH 320 or MATH 375"
MATH/COMP SCI/I SY E/STAT  525 — LINEAR OPTIMIZATION,"Introduces optimization problems whose constraints are expressed by linear inequalities. Develops geometric and algebraic insights into the structure of the problem, with an emphasis on formal proofs. Presents the theory behind the simplex method, the main algorithm used to solve linear optimization problems. Explores duality theory and theorems of the alternatives.",3 credits.,"MATH 320 or MATH 443"
MATH 531 — PROBABILITY THEORY,"A rigorous introduction to probability theory at an advanced undergraduate level. Only a minimal amount of measure theory is used, in particular, the theory of Lebesgue integrals is not needed. It is aimed at math majors and Master's degree students, or students in other fields who will need probability in their future careers. Gives an introduction to the basics (Kolmogorov axioms, conditional probability and independence, random variables, expectation) and discusses some classical results with proofs (DeMoivre-Laplace limit theorems, the study of simple random walk on the one dimensional lattice, applications of generating functions).",3 credits.,"MATH 376 or MATH 521"
MATH 535 — MATHEMATICAL METHODS IN DATA SCIENCE,"A rigorous introduction to mathematical concepts important for modern data science.   Topics include: matrix factorizations,  optimization theory and algorithms, probabilistic models, finite Markov chains.  Mathematical techniques are motivated by and illustrated on a range of applied problems from machine learning and statistics.",3 credits.,"MATH 320, MATH 531, STAT 311, ECE 331, MATH 322, COMP SCI 577"
MATH 540 — LINEAR ALGEBRA II,"Review of linear transformations, duality. Diagonalization of linear transformations.The Cayley Hamilton Theorem. Minimal polynomials. The Jordan canonical form. Exponential function. Inner product spaces, orthonormal bases and Gram-Schmidt orthogonalization. Operators on inner product spaces. Self-adjoint, unitary and positive operators. Spectral theorem. singular value decomposition. Bilinear and quadratic forms. Norms, bounded linear operators, matrix norms. Basic multilinear algebra. This is a second course in linear algebra.",3 credits.,"MATH 234 or MAT 375, MATH 320 or MATH 375, MATH 341 or MATH 521"
MATH 541 — MODERN ALGEBRA,"Groups, normal subgroups, Cayley's theorem, rings, ideals, homomorphisms, polynomial rings, abstract vector spaces.",3 credits.,"MATH 234, or 375, MATH 320 or MATH 375, MATH 341 or MATH 521"
MATH 542 — MODERN ALGEBRA,"Field extensions, roots of polynomials, splitting fields, simple extensions, linear transformations, matrices, characteristic roots, canonical forms, determinants.",3 credits.,MATH 541
MATH 551 — ELEMENTARY TOPOLOGY,"Topological spaces, connectedness, compactness, separation axioms, metric spaces.",3 credits.,"MATH 234, or 375, MATH 320, or 375, MATH 341 MATH or 521"
MATH 552 — ELEMENTARY GEOMETRIC AND ALGEBRAIC TOPOLOGY,"Introduction to algebraic topology. Emphasis on geometric aspects, including two-dimensional manifolds, the fundamental group, covering spaces, basic simplicial homology theory, the Euler-Poincare formula, and homotopy classes of mappings.",3 credits.,"MATH 551 and MATH 541"
MATH 561 — DIFFERENTIAL GEOMETRY,Theory of curves and surfaces by differential methods.,3 credits.,"MATH 320, or 375, MATH 322 or MATH 521"
MATH 567 — MODERN NUMBER THEORY,"A course in number theory covering fundamentals and modern applications in topics of recent interest: Modular arithmetic, quadratic reciprocity, arithmetic functions, zeta function, Diophantine equations, transcendental numbers, Roth's theorem, continued fractions, and the circle method. Optional material from probability including random matrix theory.",3 credits.,MATH 541
MATH 570 — FUNDAMENTALS OF SET THEORY,"Introduces the basic concepts of Set Theory including: Set-theoretical paradoxes and means of avoiding them, sets, relations, functions, orders and well-orders, proof by transfinite induction and definitions by transfinite recursion, cardinal and ordinal numbers and their arithmetic, construction of the real numbers, the axiom of choice and its consequences.",3 credits.,"MATH 234 and MATH 467, MATH 341 or MATH 521"
MATH/PHILOS  571 — MATHEMATICAL LOGIC,Basics of logic and mathematical proofs; propositional logic; first order logic; undecidability.,3 credits.,"MATH 234, or 375, MATH 320 or MATH 375, MATH 341 or MATH 521"
MATH 605 — STOCHASTIC METHODS FOR BIOLOGY,"Intended to provide a rigorous foundation for stochastic modeling of biological systems. The mathematical emphasis is in stochastic analysis and simulation. Biological applications include epidemiological phenomena, biochemical reaction networks and population dynamics.",3 credits.,"STAT 311, MATH 531, MATH 320 or MATH 531"
MATH 607 — TOPICS IN MATHEMATICS STUDY ABROAD,Credit is awarded to students who have completed an appropriate math course abroad at the advanced level having no direct equivalence within the math department offerings. The study abroad course must be pre-approved by the math department.,1-5 credits.,None
MATH/B M I/BIOCHEM/BMOLCHEM  609 — MATHEMATICAL METHODS FOR SYSTEMS BIOLOGY,"Provides a rigorous foundation for mathematical modeling of biological systems. Mathematical techniques include dynamical systems and differential equations. Applications to biological pathways, including understanding of bistability within chemical reaction systems, are emphasized.",3 credits.,"MATH 415, MATH 320 or MATH 375"
"MATH 616 — DATA-DRIVEN DYNAMICAL SYSTEMS, STOCHASTIC MODELING AND PREDICTION","An introduction to data-driven dynamical systems, including mathematical theory, methodology, numerical algorithms, applications and the use of a programming language to solve related coding problems. Topics include stochastic toolkits for dynamical systems and data science, linear Gaussian processes, nonlinear stochastic systems, elementary stochastic differential equations, data assimilation, parameter estimation, forecasting and prediction.",3 credits.,"MATH 320 or MATH 375, STAT 311, MATH 531, MATH 322 or MATH 467"
MATH 619 — ANALYSIS OF PARTIAL DIFFERENTIAL EQUATIONS,"A rigorous introduction to the theoretical underpinnings of the basic methods and techniques in the modern theory of PDEs. It is aimed at math majors, but will also be useful to some students in the sciences, engineering and economics who feel the need for a deeper understanding of the theory of PDEs. The emphasis is on the exposure to a number of different methods of solution of PDEs and their connection to physical phenomena modeled by the equations. The goals include both learning to solve some basic types of PDEs as well as to understand the motivation behind and inner workings of the techniques involved.",3 credits.,"MATH 322 or MATH 521, MATH 319 or MATH 519"
MATH 621 — INTRODUCTION TO MANIFOLDS,"Integration in Euclidean spaces, change of variables, multilinear algebra, vector fields and differential forms, manifolds and tangent spaces, integration on manifolds, Stokes theorem. Classical vector analysis. Cauchy integral theorem.",3 credits.,"MATH 522, MATH 521 and MATH 561"
MATH 623 — COMPLEX ANALYSIS,Elementary functions of a complex variable; conformal mapping; complex integrals; the calculus of residues.,3 credits.,"MATH 321 or MATH 521"
MATH 627 — INTRODUCTION TO FOURIER ANALYSIS,"Fourier series and integrals, and their applications.",3 credits.,MATH 521
MATH 629 — INTRODUCTION TO MEASURE AND INTEGRATION,"Lebesgue integral and measure, abstract measure and integration, differentiation, spaces of integrable functions.",3 credits.,MATH 522
MATH/I SY E/OTM/STAT  632 — INTRODUCTION TO STOCHASTIC PROCESSES,"Topics include discrete-time Markov chains, Poisson point processes, continuous-time Markov chains, and renewal processes. Applications to queueing, branching, and other models in science, engineering and business.",3 credits.,"STAT 311, MATH 531, MATH 320 or MATH 531"
MATH 635 — AN INTRODUCTION TO BROWNIAN MOTION AND STOCHASTIC CALCULUS,"Presents an introduction to Brownian motion and its application to stochastic calculus. Sample path properties of Brownian motion, Ito stochastic integrals, Ito's formula, stochastic differential equations and properties of their solutions, and various applications will be included.",3 credits.,MATH 521
MATH/E C E  641 — INTRODUCTION TO ERROR-CORRECTING CODES,"Coding theory. Codes (linear, Hamming, Golay, dual); decoding-encoding; Shannon's theorem; sphere-packing; singleton and Gilbert-Varshamov bounds; weight enumerators; MacWilliams identities; finite fields; other codes (Reed-Muller, cyclic, BCH, Reed-Solomon) and error-correction algorithms.",3 credits.,MATH 541
MATH 681 — SENIOR HONORS THESIS,Individual study for honors math majors writing a thesis in mathematics.,3 credits.,None
MATH 682 — SENIOR HONORS THESIS,Individual study for honors math majors writing a thesis in mathematics.,3 credits.,None
MATH 691 — UNDERGRADUATE THESIS,Individual study for students writing a thesis in mathematics.,2-4 credits.,None
MATH 692 — UNDERGRADUATE THESIS,Individual study for students writing a thesis in mathematics.,2-4 credits.,None
MATH 698 — DIRECTED STUDY,Directed study projects as arranged with a faculty member.,1-3 credits.,None
MATH 699 — DIRECTED STUDY,Directed study projects as arranged with a faculty member.,1-6 credits.,None
MATH 703 — METHODS OF APPLIED MATHEMATICS 1,"Study of the linear algebraic structure underlying discrete equilibrium problems. Boundary value problems for continous equilibria: Sturm-Liouville equations, Laplace's equation, Poisson's equation, and the equations for Stokes flow. Contour integration and conformal mapping. Applications of dynamics leading to initial value problems for ODEs and PDEs. Green's functions for ODEs and introduction to asymptotic methods for ODEs, e.g. WKB analysis. Separation of variables and eigenfunction expansions for linear PDEs. Examples from physics and engineering throughout. Knowledge of undergraduate linear algebra, analysis and complex analysis is strongly recommended.",3 credits.,None
MATH 704 — METHODS OF APPLIED MATHEMATICS-2,"Derivation, nature and solution of canonical partial differential equations of applied mathematics. Conservation laws, advection, diffusion. First order PDEs, characteristics, shocks. Traffic flow, eikonal and Hamilton-Jacobi equations. Higher order PDEs: classification, Fourier analysis, well-posedness. Series solutions and integral transforms. Green's functions and distributions. Similarity solutions. Asymptotics of Fourier integrals. Laplace's method, stationary phase. Ship waves. Perturbation methods. Knowledge of undergraduate linear algebra, analysis and complex analysis is strongly recommended.",3 credits.,None
MATH 705 — MATHEMATICAL FLUID DYNAMICS,"Advanced introduction to fluid dynamics. Basic concepts; elementary viscous flow; Navier-Stokes equations. Elementary airfoil theory; boundary layers. Vortex motion. Waves. Very viscous flow. Compressible flows. Instabilities, bifurcations, turbulence. Requires working knowledge of multivariate calculus, differential equations and mechanics.",3 credits.,None
MATH/STAT  709 — MATHEMATICAL STATISTICS,"Introduction to measure theoretic probability; derivation and transformation of probability distributions; generating functions and characteristic functions; conditional expectation, sufficiency, and unbiased estimation; methods of large sample theory including laws of large numbers and central limit theorems; order statistics.",4 credits.,None
MATH/STAT  710 — MATHEMATICAL STATISTICS,"Estimation, efficiency, Neyman-Pearson theory of hypothesis testing, confidence regions, decision theory, analysis of variance, and distribution of quadratic forms.",4 credits.,None
MATH/COMP SCI  714 — METHODS OF COMPUTATIONAL MATHEMATICS I,"Development of finite difference methods for hyperbolic, parabolic and elliptic partial differential equations. Analysis of accuracy and stability of difference schemes. Direct and iterative methods for solving linear systems. Introduction to finite volume methods. Applications from science and engineering. Students are strongly encouraged to have programming skills (e.g. COMP SCI 200) and some undergraduate numerical analysis (e.g. MATH/COMP SCI  514 or COMP SCI 412), analysis and differential equations (e.g. MATH 322 and MATH 521) and linear algebra (e.g. MATH 341).",3 credits.,None
MATH/COMP SCI  715 — METHODS OF COMPUTATIONAL MATHEMATICS II,"Introduction to spectral methods (Fourier, Chebyshev, Fast Fourier Transform), finite element methods (Galerkin methods, energy estimates and error analysis), and mesh-free methods (Monte-Carlo, smoothed-particle hydrodynamics) for solving partial differential equations. Applications from science and engineering. Applications from science and engineering. Students are strongly encouraged to have programming skills (e.g. COMP SCI 200), undergraduate numerical analysis (e.g. MATH/COMP SCI  514 or COMP SCI 412), analysis (MATH 322 and 521) and linear algebra (e.g. MATH 341 or equiv.)",3 credits.,None
MATH 716 — ORDINARY DIFFERENTIAL EQUATIONS,"Existence, uniqueness, and continuous dependence theorems, linear systems, stability, singular points, and boundary value problems. Qualitative behavior of nonlinear equations, stability, Lyapunov functions, invariant manifolds, bifurcation theory, periodic orbits, and connecting orbits.",3 credits.,None
MATH 717 — STOCHASTIC COMPUTATIONAL METHODS,"Introduction to computational methods that use stochastic algorithms and/or methods that are applied to random or stochastic mathematical problems. The main emphasis will be placed on learning practical tools, while some aspects of theoretical foundations will also be covered (e.g., basic error analysis for numerical solution of stochastic differential equations (SDEs), and basic convergence of Monte Carlo methods). Topics include Monte Carlo methods, Bayesian inference and Bayesian sampling, simulation of Markov chains, numerical analysis for SDEs, data assimilation / state estimation, stochastic optimization methods and random sketching. Applications to science, engineering, finance, data science, and other practical problems also included.",3 credits.,None
MATH 718 — RANDOMIZED LINEAR ALGEBRA AND APPLICATIONS,"Random solvers have been playing increasingly crucial roles in the modern computational tasks. The recent breakthroughs in applied and computational linear algebra that incorporate techniques of randomization have proven to be of great importance in modern applied math, computational sciences and data science, such as inverse problems, machine learning and scientific computing. The guiding principle is that one may greatly reduce computational and storage expenses at the cost of a small probability of failure. Systematic study of these modern methods of randomized linear algebra solvers will be provided, presenting mathematical backgrounds, algorithms, and concrete applications. Core theoretical topics include randomized Kaczmarz and its generalization to stochastic gradient descent, randomized singular value decomposition, random sketching, matrix completion, and compressive sensing, and corresponding applications.",3 credits.,None
MATH 719 — PARTIAL DIFFERENTIAL EQUATIONS,"Classical theory of partial differential equations, together with an introduction to the modern theory based on functional analysis. Familiarity with basic measure theory (e.g. MATH 629 or 721) or concurrent registration in MATH 721 is strongly recommended.",3 credits.,None
MATH 720 — PARTIAL DIFFERENTIAL EQUATIONS,"Linear elliptic, parabolic and hyperbolic equations, continuing with calculus of variations and then nonlinear initial value problems.",3 credits.,None
MATH 721 — A FIRST COURSE IN REAL ANALYSIS,"Real analysis concentrating on measures, integration, and differentiation and including an introduction to Hilbert spaces. Knowledge of undergraduate analysis (e.g. the sequence MATH 521 and 522) is strongly recommended.",3 credits.,None
MATH 722 — COMPLEX ANALYSIS,"The basic theory of functions of one complex variable including Cauchy formula, singularities and residues, meromorphic functions, conformal mappings, harmonic functions, approximation and the nonhomogeneous d-bar equation. Requires knowledge of undergraduate analysis (e.g. the sequence MATH 521 and 522).",3 credits.,None
MATH 725 — A SECOND COURSE IN REAL ANALYSIS,"Continuation of MATH 721. An introduction to further topics in real analysis: Banach spaces, Fourier transforms, elements of distribution theory, and applications.",3 credits.,None
MATH/COMP SCI/I SY E/STAT  726 — NONLINEAR OPTIMIZATION I,"Theory and algorithms for nonlinear optimization, focusing on unconstrained optimization. Line-search and trust-region methods; quasi-Newton methods; conjugate-gradient and limited-memory methods for large-scale problems; derivative-free optimization; algorithms for least-squares problems and nonlinear equations; gradient projection algorithms for bound-constrained problems; and simple penalty methods for nonlinearly constrained optimization. Students are strongly encouraged to have knowledge of linear algebra and familiarity with basic mathematical analysis.",3 credits.,None
